,Unnamed: 0,avg_latency,client,client_sched,clients,duration,engine,engine_sched,events,file,kernel,machine,max_latency,min_latency,p95th_latency,st_ctime,sum_latency,throughput
369,369,9.26,sysbench 1.1.0,Linux,64,300.0164,mongo v4.1.8,Linux,2072333,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/NMoh0YnNjGjZqx,4.19.0-ipanema-g9ba5ed25b696,i44,99.03,5.52,10.46,1552446822.4348874,19195134.01,6907.3989
370,370,33.48,sysbench 1.1.0,Linux,256,300.0604,mongo v4.1.8,Linux,2293704,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/05GkW8Pc5FzlfV,4.19.0-ipanema-g9ba5ed25b696,i44,1121.79,7.18,44.17,1552556838.7436519,76794660.52,7644.1422
371,371,9.41,sysbench 1.1.0,Linux,64,300.0166,mongo v4.1.8,Linux,2039803,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/3V6ZYKTVQcUxG8,4.19.0-ipanema-g9ba5ed25b696,i44,88.74,5.58,10.65,1552428971.5660408,19195484.23,6798.9675
372,372,6.85,sysbench 1.1.0,Linux,32,300.009,mongo v4.1.8,Linux,1401631,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/eVJn5yzcHHbnQj,4.19.0-ipanema-g9ba5ed25b696,i44,68.22,5.41,7.84,1552483900.9218538,9597364.18,4671.9639
373,373,52.65,sysbench 1.1.0,Linux,400,300.0977,mongo v4.1.8,Linux,2279128,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/a5HC4tAfL3zGma,4.19.0-ipanema-g9ba5ed25b696,i44,1723.75,7.49,63.32,1552428971.5660408,119997663.27,7594.6189
374,374,16.69,sysbench 1.1.0,Linux,128,300.0417,mongo v4.1.8,Linux,2300277,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/RABfAympJ42eSt,4.19.0-ipanema-g9ba5ed25b696,i44,130.94,5.82,24.83,1552532559.5977747,38394902.82,7666.5234
375,375,9.33,sysbench 1.1.0,Linux,64,300.0176,mongo v4.1.8,Linux,2056342,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/mv5ehbRLtCjjaJ,4.19.0-ipanema-g9ba5ed25b696,i44,80.39,5.46,10.46,1552483900.9218538,19195186.86,6854.0717
376,376,6.83,sysbench 1.1.0,Linux,32,300.0082,mongo v4.1.8,Linux,1405975,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/iFf9HemtbLcng2,4.19.0-ipanema-g9ba5ed25b696,i44,80.8,5.35,7.84,1552428971.5660408,9597556.15,4686.4556
377,377,54.61,sysbench 1.1.0,Linux,400,300.1113,mongo v4.1.8,Linux,2197304,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/zg6mWAHWUlAzZf,4.19.0-ipanema-g9ba5ed25b696,i44,1871.74,7.25,65.65,1552483900.9258535,119999411.84,7321.6314
378,378,54.26,sysbench 1.1.0,Linux,400,300.1144,mongo v4.1.8,Linux,2211448,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/CBfUjdhkK4gDVp,4.19.0-ipanema-g9ba5ed25b696,i44,1845.81,6.99,65.65,1552446822.4308875,120000903.64,7368.6822
