,Unnamed: 0,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
1947,1947,57.87,30.83,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.0484,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/eT57dx8ea9nbrp,4.19.0-ipanema-gab29e103e36b,i44,1750.01,2.52,8300.8698
1948,1948,8.9,6.08,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.01099999999997,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/elUNmIor4Zlbpi,4.19.0-ipanema-gab29e103e36b,i44,161.22,2.52,10520.6204
1949,1949,5.47,3.81,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.0048,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/alnlmZa1TsCmc9,4.19.0-ipanema-gab29e103e36b,i44,126.61,2.64,8385.1914
1950,1950,9.06,6.07,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0107,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/9bwd1LVgUwAqmk,4.19.0-ipanema-gab29e103e36b,i44,220.33,2.54,10539.7444
1951,1951,57.87,30.7,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.0521,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/qlEVi6QsnqIXcD,4.19.0-ipanema-gab29e103e36b,i44,1914.26,2.57,8337.4689
1952,1952,8.9,6.07,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.01,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/PlmHtwuIFIUHVQ,4.19.0-ipanema-gab29e103e36b,i44,207.3,2.59,10537.9757
1953,1953,5.18,3.76,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.005,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/wWhgim3F8aEDkV,4.19.0-ipanema-gab29e103e36b,i44,87.87,2.64,8500.1329
1954,1954,23.95,13.63,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0233,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/TBv3spQ99pa78A,4.19.0-ipanema-gab29e103e36b,i44,661.71,2.49,9390.6509
1955,1955,58.92,31.09,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.1942,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/lKQZk38nq4d9Xi,4.19.0-ipanema-gab29e103e36b,i44,1633.84,2.51,8232.0914
1956,1956,23.95,13.74,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0708,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/AHRpJSg7ucncxe,4.19.0-ipanema-gab29e103e36b,i44,875.55,2.46,9313.3947
1957,1957,23.95,13.59,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0268,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/91053f321ab75ce335769609e903d481/data/jffQTWP1zhi1nZ,4.19.0-ipanema-gab29e103e36b,i44,708.62,2.55,9413.0905
1958,1958,22.28,12.47,sysbench 1.1.0,Linux,128,300.0282,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/TPSWtxTy3OuCrE,4.19.0-ipanema-g9ba5ed25b696,i44,545.16,2.53,10264.419
1959,1959,22.69,12.55,sysbench 1.1.0,Linux,128,300.0291,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/OpdL3O1GLUQAJQ,4.19.0-ipanema-g9ba5ed25b696,i44,567.46,2.57,10198.7665
1960,1960,8.13,5.32,sysbench 1.1.0,Linux,64,300.014,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/DMiXvKA5eRLJgI,4.19.0-ipanema-g9ba5ed25b696,i44,116.29,2.49,12016.2206
1961,1961,55.82,28.72,sysbench 1.1.0,Linux,256,300.0722,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/6okhYnCY2IKqzR,4.19.0-ipanema-g9ba5ed25b696,i44,1507.48,2.72,8911.8062
1962,1962,4.74,3.38,sysbench 1.1.0,Linux,32,300.0067,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/qOF9fJufuSCZiB,4.19.0-ipanema-g9ba5ed25b696,i44,66.65,2.49,9461.6355
1963,1963,54.83,28.85,sysbench 1.1.0,Linux,256,300.1257,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/x9GN2a8kPAvDym,4.19.0-ipanema-g9ba5ed25b696,i44,1499.22,2.61,8869.2052
1964,1964,118.92,63.37,sysbench 1.1.0,Linux,256,300.1084,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/kvjliaX9RXkfNK,4.19.0-ipanema-g9ba5ed25b696,i44,3632.22,2.64,4038.171
1965,1965,54.83,28.83,sysbench 1.1.0,Linux,256,300.0802,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/e8eOe49e2cwdBe,4.19.0-ipanema-g9ba5ed25b696,i44,1558.56,2.64,8876.9527
1966,1966,22.69,12.62,sysbench 1.1.0,Linux,128,300.0477,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/C4n5BLPMaZ4E6T,4.19.0-ipanema-g9ba5ed25b696,i44,620.95,2.46,10141.2391
1967,1967,4.74,3.42,sysbench 1.1.0,Linux,32,300.0072,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/2ncL1jWSbc9C3q,4.19.0-ipanema-g9ba5ed25b696,i44,694.57,2.43,9364.2366
1968,1968,22.69,12.61,sysbench 1.1.0,Linux,128,300.0361,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/zA0ayDOHkkNPgn,4.19.0-ipanema-g9ba5ed25b696,i44,528.5,2.51,10146.5615
1969,1969,54.83,28.89,sysbench 1.1.0,Linux,256,300.057,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/Lx8P1v5jSS0KgM,4.19.0-ipanema-g9ba5ed25b696,i44,1641.73,2.66,8858.3623
1970,1970,4.74,3.42,sysbench 1.1.0,Linux,32,300.0062,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/9mDmh8xOaejpXt,4.19.0-ipanema-g9ba5ed25b696,i44,70.18,2.51,9344.543
1971,1971,4.74,3.37,sysbench 1.1.0,Linux,32,300.0067,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/pcpdVmULk4rLzS,4.19.0-ipanema-g9ba5ed25b696,i44,78.3,2.45,9483.4139
1972,1972,8.13,5.35,sysbench 1.1.0,Linux,64,300.0132,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/zaPddYoRq8MjJV,4.19.0-ipanema-g9ba5ed25b696,i44,245.01,2.37,11954.0127
1973,1973,8.13,5.35,sysbench 1.1.0,Linux,64,300.0142,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/hHrOj6JkKqK366,4.19.0-ipanema-g9ba5ed25b696,i44,109.61,2.49,11957.2845
1974,1974,22.28,12.54,sysbench 1.1.0,Linux,128,300.0289,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/eI8SkBBaViPX7C,4.19.0-ipanema-g9ba5ed25b696,i44,599.3,2.54,10207.4108
1975,1975,4.74,3.37,sysbench 1.1.0,Linux,32,300.0065,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/xCxpYOJI5bzyz0,4.19.0-ipanema-g9ba5ed25b696,i44,49.71,2.48,9482.2293
1976,1976,22.69,12.56,sysbench 1.1.0,Linux,128,300.0298,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/jSrc1NN9YGcy5E,4.19.0-ipanema-g9ba5ed25b696,i44,613.06,2.58,10188.035
1977,1977,54.83,28.74,sysbench 1.1.0,Linux,256,300.2375,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/BPjiySNeZYdlBm,4.19.0-ipanema-g9ba5ed25b696,i44,1690.08,2.66,8904.4133
1978,1978,55.82,28.95,sysbench 1.1.0,Linux,256,300.0657,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/Z0efcn3rOUtW5I,4.19.0-ipanema-g9ba5ed25b696,i44,1622.92,2.65,8840.6334
1979,1979,8.13,5.31,sysbench 1.1.0,Linux,64,300.0133,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/jyzCC1TLG2o7lv,4.19.0-ipanema-g9ba5ed25b696,i44,117.89,2.46,12043.6868
1980,1980,7.98,5.3,sysbench 1.1.0,Linux,64,300.0146,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/ZL7HjFH8nAKUa9,4.19.0-ipanema-g9ba5ed25b696,i44,116.33,2.47,12061.9147
1981,1981,4.74,3.4,sysbench 1.1.0,Linux,32,300.0059,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/gh3C7m4o6qs0bb,4.19.0-ipanema-g9ba5ed25b696,i44,235.15,2.4,9404.2142
1982,1982,22.69,12.56,sysbench 1.1.0,Linux,128,300.0318,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/IkVaog7ihtHuXQ,4.19.0-ipanema-g9ba5ed25b696,i44,585.63,2.56,10186.8749
1983,1983,8.13,5.31,sysbench 1.1.0,Linux,64,300.0142,mysql 8.0.15,Linux,/home/dc/storage/i44/mysql/8.0.15/d241cbdcdccfe67007e5ca3ec15b5905/data/dwdG6dbRtPSsEa,4.19.0-ipanema-g9ba5ed25b696,i44,119.08,2.53,12049.5715
1984,1984,8.43,5.64,sysbench 1.1.0,ule_wwc scheduling policy,64,300.0102,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/WgkuhuHkE4p9Z2,4.19.0-ipanema-gab29e103e36b,i44,723.57,2.52,11346.7558
1985,1985,5.18,3.68,sysbench 1.1.0,ule_wwc scheduling policy,32,300.0052,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/h6cdEI7cckKk26,4.19.0-ipanema-gab29e103e36b,i44,79.85,2.57,8700.6386
1986,1986,8.43,5.65,sysbench 1.1.0,ule_wwc scheduling policy,64,300.0108,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/HzQxGQYJhWfOAM,4.19.0-ipanema-gab29e103e36b,i44,341.66,2.42,11330.4829
1987,1987,8.43,5.68,sysbench 1.1.0,ule_wwc scheduling policy,64,300.01099999999997,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/c3bKQ0ZNNfS7HJ,4.19.0-ipanema-gab29e103e36b,i44,774.16,2.45,11267.09
1988,1988,70.55,31.41,sysbench 1.1.0,ule_wwc scheduling policy,256,300.0622,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/rKgQ4Z9mRL76BJ,4.19.0-ipanema-gab29e103e36b,i44,1346.4,2.5,8148.5115
1989,1989,66.84,31.24,sysbench 1.1.0,ule_wwc scheduling policy,256,300.0558,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/nKczh4LQV6tAW5,4.19.0-ipanema-gab29e103e36b,i44,1734.32,2.4,8194.0383
1990,1990,22.69,12.79,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0218,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/lqDzBXpA1Dtl2C,4.19.0-ipanema-gab29e103e36b,i44,622.61,2.5,10002.5007
1991,1991,22.69,12.86,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0406,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/O1uz09xF0j7Lpc,4.19.0-ipanema-gab29e103e36b,i44,559.25,2.41,9952.7851
1992,1992,5.28,3.67,sysbench 1.1.0,ule_wwc scheduling policy,32,300.0655,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/NqArNStNrfwoAX,4.19.0-ipanema-gab29e103e36b,i44,133.03,2.39,8715.86
1993,1993,5.18,3.67,sysbench 1.1.0,ule_wwc scheduling policy,32,300.0048,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/xlNHbuV91mxNVF,4.19.0-ipanema-gab29e103e36b,i44,86.14,2.59,8715.6042
1994,1994,68.05,31.1,sysbench 1.1.0,ule_wwc scheduling policy,256,300.0499,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/ik3YS8TyWwBHiC,4.19.0-ipanema-gab29e103e36b,i44,1811.3,2.46,8230.5708
1995,1995,22.28,12.68,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0926,mysql 8.0.15,ule_wwc scheduling policy,/home/dc/storage/i44/mysql/8.0.15/3456a8e383df853530dd39684691bf4b/data/q5WrA9V748BZeI,4.19.0-ipanema-gab29e103e36b,i44,591.17,2.41,10087.4273
